Data loaded!
Total unique citation sentences: 58405093
Processing chunk 5 (50000000 to 58405093)
[6566400/8405093] Processed: 6,566,784 | Elapsed: 255.75 min | ETA: 71.59 min
[6604800/8405093] Processed: 6,605,184 | Elapsed: 257.25 min | ETA: 70.10 min
[6643200/8405093] Processed: 6,643,584 | Elapsed: 258.74 min | ETA: 68.60 min
[6681600/8405093] Processed: 6,681,984 | Elapsed: 260.23 min | ETA: 67.11 min
[6720000/8405093] Processed: 6,720,384 | Elapsed: 261.72 min | ETA: 65.61 min
[6758400/8405093] Processed: 6,758,784 | Elapsed: 263.20 min | ETA: 64.11 min
[6796800/8405093] Processed: 6,797,184 | Elapsed: 264.68 min | ETA: 62.61 min
[6835200/8405093] Processed: 6,835,584 | Elapsed: 266.15 min | ETA: 61.11 min
[6873600/8405093] Processed: 6,873,984 | Elapsed: 267.63 min | ETA: 59.61 min
[6912000/8405093] Processed: 6,912,384 | Elapsed: 269.13 min | ETA: 58.12 min
[6950400/8405093] Processed: 6,950,784 | Elapsed: 270.62 min | ETA: 56.62 min
[6988800/8405093] Processed: 6,989,184 | Elapsed: 272.10 min | ETA: 55.12 min
[7027200/8405093] Processed: 7,027,584 | Elapsed: 273.59 min | ETA: 53.63 min
[7065600/8405093] Processed: 7,065,984 | Elapsed: 275.07 min | ETA: 52.13 min
[7104000/8405093] Processed: 7,104,384 | Elapsed: 276.55 min | ETA: 50.63 min
[7142400/8405093] Processed: 7,142,784 | Elapsed: 278.04 min | ETA: 49.14 min
[7180800/8405093] Processed: 7,181,184 | Elapsed: 279.53 min | ETA: 47.64 min
[7219200/8405093] Processed: 7,219,584 | Elapsed: 281.02 min | ETA: 46.14 min
[7257600/8405093] Processed: 7,257,984 | Elapsed: 282.50 min | ETA: 44.65 min
[7296000/8405093] Processed: 7,296,384 | Elapsed: 283.99 min | ETA: 43.15 min
[7334400/8405093] Processed: 7,334,784 | Elapsed: 285.48 min | ETA: 41.66 min
[7372800/8405093] Processed: 7,373,184 | Elapsed: 286.98 min | ETA: 40.16 min
[7411200/8405093] Processed: 7,411,584 | Elapsed: 288.47 min | ETA: 38.67 min
[7449600/8405093] Processed: 7,449,984 | Elapsed: 289.96 min | ETA: 37.17 min
[7488000/8405093] Processed: 7,488,384 | Elapsed: 291.45 min | ETA: 35.68 min
[7526400/8405093] Processed: 7,526,784 | Elapsed: 292.94 min | ETA: 34.18 min
[7564800/8405093] Processed: 7,565,184 | Elapsed: 294.43 min | ETA: 32.69 min
[7603200/8405093] Processed: 7,603,584 | Elapsed: 295.92 min | ETA: 31.19 min
[7641600/8405093] Processed: 7,641,984 | Elapsed: 297.41 min | ETA: 29.70 min
[7680000/8405093] Processed: 7,680,384 | Elapsed: 298.90 min | ETA: 28.20 min
