timestamp, name, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2025/04/04 14:15:59.038, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:16:59.038, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:17:59.039, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 14:18:59.039, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:19:59.039, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:20:59.039, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:21:59.040, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:22:59.040, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 14:23:59.040, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:24:59.040, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 14:25:59.041, NVIDIA A10, 0, 87 %, 3351 MiB, 23028 MiB
2025/04/04 14:26:59.041, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:27:59.041, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:28:59.042, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:29:59.042, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:30:59.042, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 14:31:59.042, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:32:59.042, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:33:59.042, NVIDIA A10, 0, 95 %, 3351 MiB, 23028 MiB
2025/04/04 14:34:59.043, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:35:59.043, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:36:59.042, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:37:59.043, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:38:59.043, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:39:59.043, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:40:59.043, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:41:59.044, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:42:59.044, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:43:59.044, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:44:59.045, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:45:59.045, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:46:59.045, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 14:47:59.045, NVIDIA A10, 0, 87 %, 3351 MiB, 23028 MiB
2025/04/04 14:48:59.046, NVIDIA A10, 0, 89 %, 3351 MiB, 23028 MiB
2025/04/04 14:49:59.046, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:50:59.046, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 14:51:59.046, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:52:59.047, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 14:53:59.047, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:54:59.047, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:55:59.047, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:56:59.048, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:57:59.048, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:58:59.048, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 14:59:59.048, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:00:59.049, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:01:59.049, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
